df_index,simulation_index,f_laser,f_R_outer,f_Pi,f_Be,f_rho,current,Y_TDT,Y_rhoRDT,Y_minus_peak_IFAR,Y_minus_current
465,472,1.1573346024379134,1.0440846426412465,1.0076429083198308,0.5266317734494805,1.4002202153205872,59.713870733976364,8687.4819504,24.448081682683213,-8.355959174714659,-2.985693536698818
333,340,1.322602415457368,1.0481474673375488,0.9987273250892759,0.5294206878170371,1.3086867574602365,57.714707627892494,8116.1759216,21.266938998136638,-9.054747596153844,-2.8857353813946247
228,233,1.111073937267065,1.0473490107804537,1.0022498936578632,0.5237184511497617,1.4080275017768145,56.552690006792545,8066.1643173,20.771163532020605,-8.840151515151511,-2.8276345003396273
621,628,0.5598994987085462,1.0404604451730848,1.002927427701652,0.5362766962498426,1.3573951749131083,57.32237007468939,8047.0910806,21.719007563431642,-8.466587516960647,-2.8661185037344694
483,490,0.7756164632737637,1.0481897726655007,1.0155845952406526,0.5115983569994569,1.392587305046618,56.52777411043644,8034.5645424,21.79844873548074,-8.44485294117647,-2.826388705521822
494,501,1.470893383026123,1.037346554733813,0.990733349211514,0.5106806233525276,1.1593016907572746,58.76940708607435,7629.7209956,24.135939685783104,-8.058770247229322,-2.9384703543037176
618,625,0.6233971370384097,1.0340567369014027,1.0118287151306868,0.5336985643953085,1.3172579621896148,56.704702973365784,7515.7801775,22.273752972332368,-7.741356107660455,-2.835235148668289
735,742,0.9361684899777174,1.0147394608706237,1.0006484738364816,0.647283036261797,1.4487597728148103,58.73430613428354,7347.4095923,20.794468571972647,-7.704071553994734,-2.936715306714177
515,522,0.8464546566829085,1.0151391971856356,1.0121828715503216,0.6565093817189336,1.3339665224775672,59.516795575618744,7194.2254106,21.434116556904527,-7.600362159789286,-2.975839778780937
568,575,1.153756720945239,1.0874888667836786,0.9959244934841991,0.7536225747317076,1.495600768364966,40.5585828050971,7049.3476598,1.6201170229247555,-11.447845055526184,-2.027929140254855
214,219,1.211354867555201,1.0952293565496802,0.988837510459125,0.7045478206127882,1.4733382929116488,39.03715617954731,7036.946095,2.3039322298325544,-11.102988591269838,-1.9518578089773655
313,320,1.2818507766351104,1.0961191419512035,0.9828899244964122,0.7100614784285426,1.4674159828573465,35.63734132796526,6887.7847496,1.5159258000336235,-10.929749503968251,-1.781867066398263
462,469,1.4981410661712289,1.0988897472620012,1.017540480941534,0.6428398787975311,1.4528520023450255,35.4760017991066,6864.928453,3.523563733614178,-9.320112921140312,-1.77380008995533
561,568,1.0140488799661398,1.0260405134409667,1.0106537486612797,0.5178645085543394,1.305687260814011,56.638036370277405,6856.4995648,23.445685728667847,-6.939050351721585,-2.8319018185138702
192,197,1.305783641524613,1.050013992190361,1.0193798189610244,0.5816510803997517,1.4105518581345677,54.75482862442732,6813.2930411,16.950528567801854,-8.759537510656438,-2.737741431221366
279,286,1.0660864161327481,1.0448966575786471,1.0042010232806207,0.5364203536882997,1.055052756331861,55.4971769079566,6797.7575971,19.27194159655343,-8.91520432692308,-2.77485884539783
287,294,1.4330917177721858,1.0929718041792513,0.9953197191283106,0.5341999093070626,1.419642656110227,35.86571581661701,6780.3161179,5.901654418525966,-8.522598182408304,-1.7932857908308506
603,610,1.4927465161308646,1.092549871839583,0.9961730470880866,0.5396863864734769,1.3572626784443855,34.806688614189625,6691.3507916,5.297369843906023,-8.471640701071085,-1.7403344307094812
630,637,1.0059238970279694,1.0202739112079144,0.9951583073660731,0.5397651260718703,1.0802254052832723,59.538156278431416,6652.8372082,25.625705529384014,-6.857413920770083,-2.9769078139215708
427,434,1.4980334378778934,1.0997689474374057,1.0061249123886227,0.5307051027193666,1.2474272325634956,35.176314413547516,6598.1223605,5.518341432553606,-8.573555663745534,-1.7588157206773758
569,576,1.1293718088418245,1.051977511867881,1.0198299979791046,0.5853270599618554,1.2263835025951266,55.44727552682161,6584.0278968,17.015262934403903,-8.847133418584821,-2.7723637763410807
294,301,1.3977205147966743,1.0884172700345518,0.9969772771745921,0.5464399978518486,1.270814262330532,35.6516794860363,6527.1719543,5.738736470392768,-8.339912974683543,-1.782583974301815
292,299,1.2691967152059078,1.053294532187283,1.014215954244137,0.5852497704327106,1.466119377873838,35.02379525452852,6524.9138252,6.338189473095765,-7.13471272229822,-1.7511897627264261
329,336,1.4891774766147137,1.061480680666864,0.9993039588630199,0.5530159678310156,1.2949261609464884,35.63982371240854,6504.8813936,6.538293796379193,-7.539634146341461,-1.7819911856204271
648,655,1.188441070728004,1.0000759582966567,0.9896312381327153,0.6442107390612364,1.369833143427968,55.56912623345852,6477.2880347,19.183313643561707,-6.978726708074532,-2.778456311672926
423,430,0.9992450578138232,1.0751737348735333,1.0196037251502275,0.547433945350349,1.3501284634694457,35.14097303152084,6373.0539487,6.499354535716747,-7.709337349397589,-1.7570486515760422
178,182,1.4454361367970705,1.0136144746094944,0.9921680529415607,0.5976138236001134,1.2081827092915773,33.78770016133785,6332.6191688,6.541986066304972,-6.289194065757819,-1.6893850080668926
404,411,1.3194108540192246,1.0271276226267219,0.9954008223116397,0.5772518189623952,1.2142577953636646,33.85418865829706,6316.6876704,6.566876490136357,-6.662920168067228,-1.692709432914853
545,552,1.0069284802302718,1.0718110628426076,1.0125245664268732,0.5001010000705719,1.1907267309725285,35.02901416271925,6298.8952325,7.458482236117419,-7.885629665692957,-1.7514507081359625
446,453,1.4417141927406192,1.0140469362959266,0.9816553665697575,0.6031173514202237,1.1965255932882428,34.36299782246351,6298.5793848,6.62320954266194,-6.381682705159051,-1.7181498911231756
206,211,1.4485421441495419,1.0286592105403543,0.9838709758967161,0.6340582305565476,1.3525715423747897,33.26280150562525,6267.9690873,5.146537636304883,-6.54765917602996,-1.6631400752812624
490,497,1.4797083158046007,0.9878289632499219,1.0163085059076549,0.7090181214734912,1.357359142974019,35.077339485287666,6256.0829314,6.91634589614311,-5.375783874580066,-1.7538669742643833
613,620,1.4791965568438172,0.9892889747396112,1.0081914538145065,0.7700962135568261,1.2389200096949935,34.53769393265247,6246.5520101,5.594950473419026,-5.333440594059408,-1.7268846966326237
225,230,1.418098570778966,1.0808021988719703,1.0025765620917082,0.521166367456317,1.111319492571056,38.20444334298372,6246.0830586,7.927329809981135,-8.38740426240426,-1.9102221671491861
167,171,1.4573667338117957,1.0497989051043988,1.0109460366889835,0.5016163215041161,1.071701580658555,33.49435720592737,6225.9110043,6.858639406739924,-7.27068829113924,-1.6747178602963686
430,437,1.2129373950883746,1.0943857250735165,1.0145454489067196,0.7724935030564666,1.0895297564566135,32.16518737375736,6213.6052524,0.4759862865382072,-10.465685096153852,-1.6082593686878681
605,612,0.5777273159474134,0.9924575133249164,1.015575601272285,0.7015624428167939,1.4225540161132812,56.66376166045666,6213.3277014,19.92129400841276,-6.307951877934273,-2.833188083022833
186,191,1.2203681478276849,1.0295806150883438,1.0054335536807775,0.5233876807615161,1.49127662088722,37.97848027199507,6212.6675314,10.270314759550889,-7.258552631578946,-1.8989240135997534
143,147,1.4528161594644189,1.0120703857392073,0.9937829334288836,0.601184269413352,1.2287043556571007,32.77081623673439,6193.1198046,6.070752255668654,-6.06719725343321,-1.6385408118367195
270,277,1.0750863198190928,1.090985493734479,1.0108668768778444,0.532694211229682,0.9505180483683944,32.439512088894844,6180.9470817,4.7669209272832305,-8.242332035053552,-1.6219756044447422
104,104,1.237032770179212,1.047545979358256,1.0097974621504546,0.5030143605545163,1.0824978165328503,31.888128221035004,6167.5494222,6.198936636264797,-7.018631436314361,-1.5944064110517502
742,749,1.361374257132411,1.0016475144773722,1.0121747105941177,0.5386655321344733,1.167259929701686,34.50295712798834,6166.3204467,8.513909979092746,-6.024728997289971,-1.725147856399417
210,215,1.1712326100096107,1.0471039986237884,1.0063969563320279,0.5644890088587999,1.4797350317239761,32.47721642255783,6156.1865329,5.681407648506463,-6.912482900136797,-1.6238608211278915
174,178,1.2015930712223053,1.0093028223142029,0.9961511744186282,0.5067857867106795,1.3200581530109048,34.194336757063866,6135.5701465,8.55395895436539,-6.364992088607593,-1.7097168378531933
594,601,1.207407453097403,1.0166386188939214,1.0020972573757172,0.5834285030141473,1.4992534955963492,33.075544983148575,6128.0891791,6.657032872956448,-6.277632985832662,-1.6537772491574287
588,595,1.3999215634539723,0.9898027235642076,1.013935783058405,0.6139889834448695,1.1699422355741262,35.190142430365086,6114.9808991,8.282723735270922,-5.660978112175101,-1.7595071215182543
445,452,1.1454937867820263,1.0101256597787143,0.9901488332077861,0.5607116697356105,1.2529322197660804,33.14762130379677,6058.6910871,7.101838346807984,-6.248704481792714,-1.6573810651898384
436,443,1.4564829990267754,1.0156901206821205,1.0077628337219358,0.5151834180578589,1.2640508590266109,57.553258277475834,6055.238881,25.428826459411386,-6.170155502392347,-2.8776629138737917
338,345,1.4153553657233715,0.9876160783693195,1.0036089285463095,0.7387189818546176,1.2403726791962981,33.1811747699976,5997.562631,5.556895229371415,-5.286540404040403,-1.6590587384998798
153,157,1.3111165584996343,1.015418864786625,1.0060711172223091,0.5738459313288331,1.1625146139413118,37.99370374530554,5959.2839076,9.817487998139525,-6.692049050632913,-1.899685187265277
660,667,1.0782057512551546,1.0791365657001735,0.9817156943678855,0.6311229970306158,1.3495271559804678,31.65734600275755,5925.2197578,3.2431348762385226,-8.40030802530802,-1.5828673001378775
137,141,1.3423102302476764,1.0549163265153767,1.0071725439280272,0.5101788071915507,1.4836866278201342,40.94762280583382,5891.3006063,11.252434454772008,-8.234826864535762,-2.047381140291691
4,4,0.9915539743378758,1.0934574676677586,0.9886724995449185,0.6383257945999503,1.1191110303625464,31.067821942269802,5864.6012429,2.6948225152436547,-8.913108108108108,-1.55339109711349
147,151,1.4561605220660567,0.9728071941062808,1.0072069631516933,0.737030447460711,1.0298590930178761,34.888178147375584,5828.421906,6.981955743223806,-4.984720176730486,-1.7444089073687792
222,227,1.1621344331651926,0.9833267129957677,0.9905513022840023,0.5389938717707992,1.3952033184468746,34.27331205457449,5809.6976948,8.787105999734235,-5.5091437177280564,-1.7136656027287245
156,160,1.4336976306512952,1.0004991393536329,0.9935982836782932,0.6526087382808328,1.0286844167858362,31.468601040542126,5804.010436,5.32607810919789,-5.689973690231068,-1.5734300520271063
421,428,1.312570545822382,0.9678192241117358,0.9992441437393427,0.7012350568547845,1.3231525560840964,35.49732621759176,5803.7630397,7.93831198812126,-5.005522440392706,-1.7748663108795881
719,726,0.810124727897346,1.048464009910822,0.9831136986240745,0.5217885300517082,1.235915188677609,32.766186855733395,5797.699793,6.485031582557933,-7.227228244504666,-1.6383093427866697
149,153,1.1763725820928812,1.0511206494644285,0.9841366359218955,0.532887582667172,1.4406388960778713,30.73413982987404,5787.5148352,5.136696594085845,-7.0179621848739515,-1.536706991493702
444,451,1.2741525257006288,0.9861603913828731,1.019524229876697,0.5659247925505042,1.0194041756913066,33.44143010675907,5765.2872329,8.152991705023211,-5.4202731092436975,-1.6720715053379536
42,42,1.2654036479070783,0.9763410283252597,0.9874831954017281,0.6173227168619633,1.044897393323481,33.764491230249405,5749.1842009,7.673112885696643,-5.348713427377218,-1.6882245615124702
286,293,1.268103003501892,1.062864235416055,0.990352789722383,0.5744100911542773,0.8742810022085905,29.742774963378906,5734.731048,4.009061798919337,-7.181497948016414,-1.4871387481689453
141,145,0.9269666178151965,1.0286949682980777,1.006227122247219,0.5302103143185377,0.8081165701150894,32.1265534684062,5725.7763103,6.792812048138356,-6.575050200803214,-1.60632767342031
202,207,0.9525145636871457,1.0113868921995164,1.010033386722207,0.5207003811374307,0.950889372266829,33.76288536936045,5698.5822593,8.41127168146882,-6.32318672839506,-1.6881442684680223
591,598,1.237099670805037,1.037974040955305,1.0002374051138758,0.6832735501229763,1.4284549951553345,31.27964172512293,5675.0200891,3.8820623349518755,-6.704088639200999,-1.5639820862561464
460,467,1.3283222252503037,0.9706339731812478,0.9989590023085475,0.7251401711255312,1.2655107639729977,32.60760057717562,5634.4366805,6.1509840800139575,-4.9138064316635734,-1.6303800288587809
